seed	experiment	feature_set	domain	class	precision	recall	f1	support
0	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9887005649717514	0.9308510638297872	0.958904109589041	188.0
0	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.93	0.9893617021276596	0.9587628865979382	188.0
0	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
1	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9637305699481865	0.9893617021276596	0.9763779527559056	188.0
1	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9837837837837838	0.9680851063829787	0.9758713136729222	188.0
1	multiclass_domain	all	arxiv_papers	human	1.0	0.9893617021276596	0.9946524064171123	188.0
2	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9682539682539683	0.973404255319149	0.9708222811671088	188.0
2	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.973404255319149	0.973404255319149	0.973404255319149	188.0
2	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
3	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9837837837837838	0.9680851063829787	0.9758713136729222	188.0
3	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9583333333333334	0.9787234042553191	0.968421052631579	188.0
3	multiclass_domain	all	arxiv_papers	human	0.9893048128342246	0.9840425531914894	0.9866666666666667	188.0
4	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9627659574468085	0.9627659574468085	0.9627659574468085	188.0
4	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9578947368421052	0.9680851063829787	0.9629629629629629	188.0
4	multiclass_domain	all	arxiv_papers	human	1.0	0.9893617021276596	0.9946524064171123	188.0
5	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9479166666666666	0.9680851063829787	0.9578947368421052	188.0
5	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9675675675675676	0.9521276595744681	0.9597855227882037	188.0
5	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
6	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9682539682539683	0.973404255319149	0.9708222811671088	188.0
6	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9732620320855615	0.9680851063829787	0.9706666666666667	188.0
6	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
7	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9481865284974094	0.973404255319149	0.9606299212598425	188.0
7	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.978021978021978	0.9468085106382979	0.9621621621621622	188.0
7	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
8	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9675675675675676	0.9521276595744681	0.9597855227882037	188.0
8	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9476439790575916	0.9627659574468085	0.9551451187335093	188.0
8	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
9	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9835164835164835	0.9521276595744681	0.9675675675675676	188.0
9	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9538461538461539	0.9893617021276596	0.9712793733681462	188.0
9	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
10	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9576719576719577	0.9627659574468085	0.9602122015915119	188.0
10	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9627659574468085	0.9627659574468085	0.9627659574468085	188.0
10	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
11	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9631578947368421	0.973404255319149	0.9682539682539683	188.0
