experiment	feature_1	feature_2	wilcoxon	p_value	effect_size	p_holm
multiclass_domain	all	information_theoretic	0.0	3.8965598450959084e-18	1.0	2.337935907057545e-16
multiclass_domain	all	readability	0.0	3.8965598450959084e-18	1.0	1.1300023550778135e-16
multiclass_domain	all	reading_time	0.0	3.8965598450959084e-18	1.0	1.0910367566268543e-16
multiclass_domain	all	structure	0.0	3.8965598450959084e-18	1.0	1.0520711581758953e-16
multiclass_domain	all	syntax	0.0	3.8965598450959084e-18	1.0	1.0131055597249362e-16
multiclass_domain	information_theoretic	readability	0.0	3.8965598450959084e-18	-1.0	9.741399612739771e-17
multiclass_domain	information_theoretic	reading_time	0.0	3.8965598450959084e-18	1.0	9.35174362823018e-17
multiclass_domain	information_theoretic	structure	0.0	3.8965598450959084e-18	1.0	8.962087643720589e-17
multiclass_domain	information_theoretic	syntax	0.0	3.8965598450959084e-18	-1.0	8.572431659210998e-17
multiclass_domain	readability	reading_time	0.0	3.8965598450959084e-18	1.0	8.182775674701407e-17
multiclass_domain	readability	structure	0.0	3.8965598450959084e-18	1.0	7.793119690191818e-17
multiclass_domain	readability	syntax	0.0	3.8965598450959084e-18	-1.0	7.403463705682227e-17
multiclass_domain	reading_time	structure	29.0	9.318997235593406e-18	-0.9835630390437218	9.318997235593406e-18
multiclass_domain	reading_time	syntax	0.0	3.8965598450959084e-18	-1.0	7.013807721172636e-17
multiclass_domain	structure	syntax	0.0	3.8965598450959084e-18	-1.0	6.234495752153454e-17
binary_domain	all	information_theoretic	0.0	3.8965598450959084e-18	1.0	1.1689679535287725e-17
binary_domain	all	readability	0.0	3.8965598450959084e-18	1.0	5.844839767643863e-17
binary_domain	all	reading_time	0.0	3.8965598450959084e-18	1.0	5.4551837831342715e-17
binary_domain	all	structure	0.0	3.8965598450959084e-18	1.0	5.065527798624681e-17
binary_domain	all	syntax	0.0	3.8965598450959084e-18	1.0	4.67587181411509e-17
binary_domain	information_theoretic	readability	0.0	3.8965598450959084e-18	-1.0	4.286215829605499e-17
binary_domain	information_theoretic	reading_time	0.0	3.8965598450959084e-18	1.0	3.896559845095909e-17
binary_domain	information_theoretic	structure	0.0	3.8965598450959084e-18	1.0	3.506903860586318e-17
binary_domain	information_theoretic	syntax	0.0	3.8965598450959084e-18	-1.0	3.117247876076727e-17
binary_domain	readability	reading_time	0.0	3.8965598450959084e-18	1.0	2.7275918915671358e-17
binary_domain	readability	structure	0.0	3.8965598450959084e-18	1.0	2.337935907057545e-17
binary_domain	readability	syntax	0.0	3.8965598450959084e-18	-1.0	1.9482799225479544e-17
binary_domain	reading_time	structure	0.0	3.8965598450959084e-18	-1.0	1.5586239380383634e-17
binary_domain	reading_time	syntax	0.0	3.8965598450959084e-18	-1.0	1.1689679535287725e-16
binary_domain	structure	syntax	0.0	3.8965598450959084e-18	-1.0	1.2079335519797317e-16
multiclass_all	all	information_theoretic	0.0	3.8965598450959084e-18	1.0	1.2468991504306907e-16
multiclass_all	all	readability	0.0	3.8965598450959084e-18	1.0	1.831383127195077e-16
multiclass_all	all	reading_time	0.0	3.8965598450959084e-18	1.0	2.298970308606586e-16
multiclass_all	all	structure	0.0	3.8965598450959084e-18	1.0	2.260004710155627e-16
multiclass_all	all	syntax	0.0	3.8965598450959084e-18	1.0	2.221039111704668e-16
multiclass_all	information_theoretic	readability	0.0	3.8965598450959084e-18	-1.0	2.1820735132537086e-16
multiclass_all	information_theoretic	reading_time	0.0	3.8965598450959084e-18	1.0	2.1431079148027496e-16
multiclass_all	information_theoretic	structure	0.0	3.8965598450959084e-18	1.0	2.1041423163517907e-16
multiclass_all	information_theoretic	syntax	0.0	3.8965598450959084e-18	-1.0	2.0651767179008314e-16
multiclass_all	readability	reading_time	0.0	3.8965598450959084e-18	1.0	2.0262111194498725e-16
multiclass_all	readability	structure	0.0	3.8965598450959084e-18	1.0	1.9872455209989132e-16
multiclass_all	readability	syntax	0.0	3.8965598450959084e-18	-1.0	1.9482799225479543e-16
multiclass_all	reading_time	structure	0.0	3.8965598450959084e-18	-1.0	1.909314324096995e-16
multiclass_all	reading_time	syntax	0.0	3.8965598450959084e-18	-1.0	1.870348725646036e-16
multiclass_all	structure	syntax	0.0	3.8965598450959084e-18	-1.0	1.7924175287441179e-16
binary_all	all	information_theoretic	0.0	3.8965598450959084e-18	1.0	1.2858647488816497e-16
binary_all	all	readability	0.0	3.8965598450959084e-18	1.0	1.753451930293159e-16
binary_all	all	reading_time	0.0	3.8965598450959084e-18	1.0	1.7144863318421997e-16
binary_all	all	structure	0.0	3.8965598450959084e-18	1.0	1.6755207333912407e-16
binary_all	all	syntax	0.0	3.8965598450959084e-18	1.0	1.6365551349402815e-16
binary_all	information_theoretic	readability	0.0	3.8965598450959084e-18	-1.0	1.5975895364893225e-16
binary_all	information_theoretic	reading_time	0.0	3.8965598450959084e-18	1.0	1.5586239380383635e-16
binary_all	information_theoretic	structure	0.0	3.8965598450959084e-18	1.0	1.5196583395874043e-16
binary_all	information_theoretic	syntax	0.0	3.8965598450959084e-18	-1.0	1.4806927411364453e-16
binary_all	readability	reading_time	0.0	3.8965598450959084e-18	1.0	1.441727142685486e-16
binary_all	readability	structure	0.0	3.8965598450959084e-18	1.0	1.402761544234527e-16
binary_all	readability	syntax	0.0	3.8965598450959084e-18	-1.0	1.363795945783568e-16
binary_all	reading_time	structure	0.0	3.8965598450959084e-18	-1.0	1.324830347332609e-16
binary_all	reading_time	syntax	0.0	3.8965598450959084e-18	-1.0	6.624151736663045e-17
binary_all	structure	syntax	0.0	3.8965598450959084e-18	-1.0	7.793119690191817e-18
