,gemma2_9b | arxiv_papers,gemma2_9b | blog_authorship_corpus,gemma2_9b | cnn_news,gemma2_9b | euro_court_cases,gemma2_9b | house_of_commons,gemma2_9b | student_essays,gpt-4o-mini | arxiv_papers,gpt-4o-mini | blog_authorship_corpus,gpt-4o-mini | cnn_news,gpt-4o-mini | euro_court_cases,gpt-4o-mini | house_of_commons,gpt-4o-mini | student_essays,human | arxiv_papers,human | blog_authorship_corpus,human | cnn_news,human | euro_court_cases,human | house_of_commons,human | student_essays
gemma2_9b | arxiv_papers,1.0,0.0,2.1139539356105197e-05,1.6832182530231067e-82,0.03583423493883835,3.79699342379055e-46,1.0,0.0,3.537704851995759e-55,2.6796566434143395e-24,1.0,7.784480677255953e-13,5.134249708897293e-30,0.0,6.08793683786478e-17,2.924190763284077e-10,0.18250484990314408,0.0
gemma2_9b | blog_authorship_corpus,0.0,1.0,0.0,1.2098679787493895e-211,0.0,0.0,0.0,0.11530010514563166,0.0,1.6391609327392024e-171,0.0,0.0,1.2931872652602393e-131,6.636331062614356e-29,0.0,0.0,0.0,2.4492519531067503e-83
gemma2_9b | cnn_news,2.1139539356105197e-05,0.0,1.0,6.948760846745692e-165,0.46801379897904966,7.6469929175459545e-118,0.03583423493883835,0.0,7.1562209526979986e-37,1.0091551018860084e-50,0.0026933521280900685,6.977069118017264e-60,2.871200257627126e-57,0.0,4.506912143631379e-62,2.198350915406415e-34,0.18250484990314408,0.0
gemma2_9b | euro_court_cases,1.6832182530231067e-82,1.2098679787493895e-211,6.948760846745692e-165,1.0,3.044113844638908e-141,5.662353756032958e-12,2.6047895287077385e-92,2.1785441886544578e-140,0.0,3.013802280290351e-05,3.0751920029142006e-76,5.3808582516589093e-67,0.08286827061781198,0.0,8.323465504213782e-45,5.456632701150041e-32,1.0109246606930858e-123,2.1803253050128745e-85
gemma2_9b | house_of_commons,0.03583423493883835,0.0,0.46801379897904966,3.044113844638908e-141,1.0,2.3753007845663952e-95,1.0,0.0,2.1881490799784256e-48,1.2474187308479343e-41,0.4007425495413963,4.9400614905872933e-42,4.567803349905322e-48,0.0,1.1488447891239672e-45,3.4987647222335633e-25,1.0,0.0
gemma2_9b | student_essays,3.79699342379055e-46,0.0,7.6469929175459545e-118,5.662353756032958e-12,2.3753007845663952e-95,1.0,7.268399139251413e-55,2.0889517449046885e-237,2.4917402622523756e-272,1.0,9.287037032666261e-43,3.63726006668524e-27,0.46801379897904966,0.0,2.2779193479459614e-13,2.58193866240971e-09,5.29827567370966e-80,1.321380063925901e-258
gpt-4o-mini | arxiv_papers,1.0,0.0,0.03583423493883835,2.6047895287077385e-92,1.0,7.268399139251413e-55,1.0,0.0,2.555070551169168e-42,1.7306188344772404e-29,1.0,7.28295740601878e-19,1.988273539995639e-35,0.0,3.0279519019799317e-23,1.376990785997544e-14,1.0,0.0
gpt-4o-mini | blog_authorship_corpus,0.0,0.11530010514563166,0.0,2.1785441886544578e-140,0.0,2.0889517449046885e-237,0.0,1.0,0.0,2.8128179739324136e-139,0.0,0.0,2.8548303285482843e-112,4.2560587038042064e-05,0.0,3.9048400345655374e-258,0.0,1.7756512497542935e-48
gpt-4o-mini | cnn_news,3.537704851995759e-55,0.0,7.1562209526979986e-37,0.0,2.1881490799784256e-48,2.4917402622523756e-272,2.555070551169168e-42,0.0,1.0,6.694495051271433e-123,7.437510046481618e-43,3.612450594001176e-206,5.56032216641482e-128,0.0,7.826332232943459e-194,2.91707329288243e-116,4.462601021810071e-47,0.0
gpt-4o-mini | euro_court_cases,2.6796566434143395e-24,1.6391609327392024e-171,1.0091551018860084e-50,3.013802280290351e-05,1.2474187308479343e-41,1.0,1.7306188344772404e-29,2.8128179739324136e-139,6.694495051271433e-123,1.0,1.9761444586664085e-24,1.1658280226183593e-09,1.0,7.876003560790238e-281,1.2206941746683992e-05,3.013802280290351e-05,2.3937571526902336e-37,2.0094161370282814e-79
gpt-4o-mini | house_of_commons,1.0,0.0,0.0026933521280900685,3.0751920029142006e-76,0.4007425495413963,9.287037032666261e-43,1.0,0.0,7.437510046481618e-43,1.9761444586664085e-24,1.0,9.446875745636615e-13,5.1224518783277475e-30,0.0,1.247933578997612e-16,9.418367657591995e-11,1.0,0.0
